270101 N- ----NSF- ----NSF Ἀποκάλυψις Ἀποκάλυψις ἀποκάλυψις ἀποκάλυψις
270101 RA ----DSM- ----DSY τῷ τῷ τῷ ὁ
270101 N- ----DSM- ----DSY δούλῳ δούλῳ δούλῳ δοῦλος
270101 RP ----GSM- ----GSY αὐτοῦ αὐτοῦ αὐτοῦ αὐτός
270101 N- ----DSM- ----DSY Ἰωάννῃ, Ἰωάννῃ Ἰωάννῃ Ἰωάννης
270102 RR ----NSM- ----NSM ὃς ὃς ὅς ὅς
270102 V- 3AAI-S-- AAI3-S- ἐμαρτύρησεν ἐμαρτύρησεν ἐμαρτύρησε(ν) μαρτυρέω
270102 RA ----ASM- ----ASM τὸν τὸν τόν ὁ
270102 N- ----ASM- ----ASM λόγον λόγον λόγον λόγος
270102 RA ----GSM- ----GSY τοῦ τοῦ τοῦ ὁ
270102 N- ----GSM- ----GSY θεοῦ θεοῦ θεοῦ θεός
270102 C- -------- ------- καὶ καὶ καί καί
270102 RA ----ASF- ----ASF τὴν τὴν τήν ὁ
270102 N- ----ASF- ----ASF μαρτυρίαν μαρτυρίαν μαρτυρίαν μαρτυρία
270102 N- ----GSM- ----GSY Ἰησοῦ Ἰησοῦ Ἰησοῦ Ἰησοῦς
270102 N- ----GSM- ----GSY Χριστοῦ, Χριστοῦ Χριστοῦ Χριστός
270102 RR ----APN- ----CPN ὅσα ὅσα ὅσα ὅσος
270102 V- 3AAI-S-- AAI3-S- εἶδεν. εἶδεν εἶδε(ν) ὁράω
270103 A- ----NSM- ----NSM μακάριος μακάριος μακάριος μακάριος
270103 RA ----NSM- ----NSM ὁ ὁ ὁ ὁ
270103 V- -PAPNSM- PAP-NSM ἀναγινώσκων ἀναγινώσκων ἀναγινώσκων ἀναγινώσκω
270103 C- -------- ------- καὶ καὶ καί καί
270103 RA ----NPM- ----NPM οἱ οἱ οἱ ὁ
270103 V- -PAPNPM- PAP-NPM ἀκούοντες ἀκούοντες ἀκούοντες ἀκούω
270103 RA ----APM- ----APM τοὺς τοὺς τούς ὁ
270103 N- ----APM- ----APM λόγους λόγους λόγους λόγος
270103 RA ----GSF- ----GSF τῆς τῆς τῆς ὁ
270103 N- ----GSF- ----GSF προφητείας προφητείας προφητείας προφητεία
270103 C- -------- ------- καὶ καὶ καί καί
270103 V- -PAPNPM- PAP-NPM τηροῦντες τηροῦντες τηροῦντες τηρέω
270103 RA ----APN- ----CPN τὰ τὰ τά ὁ
270103 P- -------- ------- ἐν ἐν ἐν ἐν
270103 RP ----DSF- ----DSF αὐτῇ αὐτῇ αὐτῇ αὐτός
270103 V- -XPPAPN- XMP-CPN γεγραμμένα, γεγραμμένα γεγραμμένα γράφω
270103 RA ----NSM- ----NSM ὁ ὁ ὁ ὁ
270103 C- -------- ------- γὰρ γὰρ γάρ γάρ
270103 N- ----NSM- ----NSM καιρὸς καιρὸς καιρός καιρός
270103 D- -------- ------- ἐγγύς. ἐγγύς ἐγγύς ἐγγύς
270104 N- ----NSM- ----NSM Ἰωάννης Ἰωάννης Ἰωάννης Ἰωάννης
270104 RA ----DPF- ----DPF ταῖς ταῖς ταῖς ὁ
270104 A- ----DPF- ------- ἑπτὰ ἑπτὰ ἑπτά ἑπτά
270104 N- ----DPF- ----DPF ἐκκλησίαις ἐκκλησίαις ἐκκλησίαις ἐκκλησία
270104 RA ----DPF- ----DPF ταῖς ταῖς ταῖς ὁ
270104 P- -------- ------- ἐν ἐν ἐν ἐν
270104 RA ----DSF- ----DSF τῇ τῇ τῇ ὁ
270104 N- ----DSF- ----DSF Ἀσίᾳ· Ἀσίᾳ Ἀσίᾳ Ἀσία
270104 N- ----NSF- ----NSF χάρις χάρις χάρις χάρις
270104 RP ----DP-- ----DP- ὑμῖν ὑμῖν ὑμῖν σύ
270104 C- -------- ------- καὶ καὶ καί καί
270104 N- ----NSF- ----NSF εἰρήνη εἰρήνη εἰρήνη εἰρήνη
270104 P- -------- ------- ⸀ἀπὸ ἀπὸ ἀπό ἀπό
270104 RA ----NSM- ----NSM ὁ ὁ ὁ ὁ
270104 V- -PAPNSM- PAP-NSM ὢν ὢν ὤν εἰμί
270104 C- -------- ------- καὶ καὶ καί καί
270104 RA ----NSM- ----NSM ὁ ὁ ὁ ὁ
270104 V- 3IAI-S-- IAI3-S- ἦν ἦν ἦν εἰμί
270104 C- -------- ------- καὶ καὶ καί καί
270104 RA ----NSM- ----NSM ὁ ὁ ὁ ὁ
270104 V- -PMPNSM- PMP-NSM ἐρχόμενος, ἐρχόμενος ἐρχόμενος ἔρχομαι
270104 C- -------- ------- καὶ καὶ καί καί
270104 P- -------- ------- ἀπὸ ἀπὸ ἀπό ἀπό
270104 RA ----GPN- ----GPX τῶν τῶν τῶν ὁ
270104 A- ----GPN- ------- ἑπτὰ ἑπτὰ ἑπτά ἑπτά
270104 N- ----GPN- ----GPX πνευμάτων πνευμάτων πνευμάτων πνεῦμα
270104 RR ----NPN- ----CPN ἃ ἃ ἅ ὅς
270104 P- -------- ------- ἐνώπιον ἐνώπιον ἐνώπιον ἐνώπιον
270104 RA ----GSM- ----GSY τοῦ τοῦ τοῦ ὁ
270104 N- ----GSM- ----GSY θρόνου θρόνου θρόνου θρόνος
270104 RP ----GSM- ----GSY αὐτοῦ, αὐτοῦ αὐτοῦ αὐτός
270105 C- -------- ------- καὶ καὶ καί καί
270105 P- -------- ------- ἀπὸ ἀπὸ ἀπό ἀπό
270105 N- ----GSM- ----GSY Ἰησοῦ Ἰησοῦ Ἰησοῦ Ἰησοῦς
270105 N- ----GSM- ----GSY Χριστοῦ, Χριστοῦ Χριστοῦ Χριστός
270105 RA ----NSM- ----NSM ὁ ὁ ὁ ὁ
270105 N- ----NSM- ----NSM μάρτυς μάρτυς μάρτυς μάρτυς
270105 RA ----NSM- ----NSM ὁ ὁ ὁ ὁ
270105 A- ----NSM- ----NSM πιστός, πιστός πιστός πιστός
270105 RA ----NSM- ----NSM ὁ ὁ ὁ ὁ
270105 A- ----NSM- ----NSM πρωτότοκος πρωτότοκος πρωτότοκος πρωτότοκος
270105 RA ----GPM- ----GPX τῶν τῶν τῶν ὁ
270105 A- ----GPM- ----GPX νεκρῶν νεκρῶν νεκρῶν νεκρός
270105 C- -------- ------- καὶ καὶ καί καί
270105 RA ----NSM- ----NSM ὁ ὁ ὁ ὁ
270105 N- ----NSM- ----NSM ἄρχων ἄρχων ἄρχων ἄρχων
270105 RA ----GPM- ----GPX τῶν τῶν τῶν ὁ
270105 N- ----GPM- ----GPX βασιλέων βασιλέων βασιλέων βασιλεύς
270105 RA ----GSF- ----GSF τῆς τῆς τῆς ὁ
270105 N- ----GSF- ----GSF γῆς. γῆς γῆς γῆ
270105 RA ----DSM- ----DSY Τῷ Τῷ τῷ ὁ
270105 V- -PAPDSM- PAP-DSY ἀγαπῶντι ἀγαπῶντι ἀγαπῶντι ἀγαπάω
270105 RP ----AP-- ----AP- ἡμᾶς ἡμᾶς ἡμᾶς ἐγώ
270105 C- -------- ------- καὶ καὶ καί καί
270105 V- -AAPDSM- AAP-DSY ⸀λύσαντι λύσαντι λύσαντι λύω
270105 RP ----AP-- ----AP- ἡμᾶς ἡμᾶς ἡμᾶς ἐγώ
270105 P- -------- ------- ⸀ἐκ ἐκ ἐκ ἐκ
270105 RA ----GPF- ----GPX τῶν τῶν τῶν ὁ
270105 N- ----GPF- ----GPX ἁμαρτιῶν ἁμαρτιῶν ἁμαρτιῶν ἁμαρτία
270105 RP ----GP-- ----GP- ἡμῶν ἡμῶν ἡμῶν ἐγώ
270105 P- -------- ------- ἐν ἐν ἐν ἐν
270105 RA ----DSN- ----DSY τῷ τῷ τῷ ὁ
270105 N- ----DSN- ----DSY αἵματι αἵματι αἵματι αἷμα
270105 RP ----GSM- ----GSY αὐτοῦ— αὐτοῦ αὐτοῦ αὐτός
270106 C- -------- ------- καὶ καὶ καί καί
270106 V- 3AAI-S-- AAI3-S- ἐποίησεν ἐποίησεν ἐποίησε(ν) ποιέω
270106 RP ----AP-- ----AP- ἡμᾶς ἡμᾶς ἡμᾶς ἐγώ
270106 N- ----ASF- ----ASF βασιλείαν, βασιλείαν βασιλείαν βασιλεία
270106 N- ----APM- ----APM ἱερεῖς ἱερεῖς ἱερεῖς ἱερεύς
270106 RA ----DSM- ----DSY τῷ τῷ τῷ ὁ
270106 N- ----DSM- ----DSY θεῷ θεῷ θεῷ θεός
270106 C- -------- ------- καὶ καὶ καί καί
270106 N- ----DSM- ----DSY πατρὶ πατρὶ πατρί πατήρ
270106 RP ----GSM- ----GSY αὐτοῦ— αὐτοῦ αὐτοῦ αὐτός
270106 RP ----DSM- ----DSY αὐτῷ αὐτῷ αὐτῷ αὐτός
270106 RA ----NSF- ----NSF ἡ ἡ ἡ ὁ
270106 N- ----NSF- ----NSF δόξα δόξα δόξα δόξα
270106 C- -------- ------- καὶ καὶ καί καί
270106 RA ----NSN- ----CSN τὸ τὸ τό ὁ
270106 N- ----NSN- ----CSN κράτος κράτος κράτος κράτος
270106 P- -------- ------- εἰς εἰς εἰς εἰς
270106 RA ----APM- ----APM τοὺς τοὺς τούς ὁ
270106 N- ----APM- ----APM αἰῶνας αἰῶνας αἰῶνας αἰών
270106 RA ----GPM- ----GPX ⸂τῶν τῶν τῶν ὁ
270106 N- ----GPM- ----GPX αἰώνων⸃· αἰώνων αἰώνων αἰών
270106 X- -------- ------- ἀμήν. ἀμήν ἀμήν ἀμήν
270107 X- -------- ------- Ἰδοὺ Ἰδοὺ ἰδού ἰδού
270107 V- 3PMI-S-- PMI3-S- ἔρχεται ἔρχεται ἔρχεται ἔρχομαι
270107 P- -------- ------- μετὰ μετὰ μετά μετά
270107 RA ----GPF- ----GPX τῶν τῶν τῶν ὁ
270107 N- ----GPF- ----GPX νεφελῶν, νεφελῶν νεφελῶν νεφέλη
270107 C- -------- ------- καὶ καὶ καί καί
270107 V- 3FMI-S-- FMI3-S- ὄψεται ὄψεται ὄψεται ὁράω
270107 RP ----ASM- ----ASM αὐτὸν αὐτὸν αὐτόν αὐτός
270107 A- ----NSM- ----NSM πᾶς πᾶς πᾶς πᾶς
270107 N- ----NSM- ----NSM ὀφθαλμὸς ὀφθαλμὸς ὀφθαλμός ὀφθαλμός
270107 C- -------- ------- καὶ καὶ καί καί
270107 RR ----NPM- ----NPM οἵτινες οἵτινες οἵτινες ὅστις
270107 RP ----ASM- ----ASM αὐτὸν αὐτὸν αὐτόν αὐτός
270107 V- 3AAI-P-- AAI3-P- ἐξεκέντησαν, ἐξεκέντησαν ἐξεκέντησαν ἐκκεντέω
270107 C- -------- ------- καὶ καὶ καί καί
270107 V- 3FMI-P-- FMI3-P- κόψονται κόψονται κόψονται κόπτω
270107 P- -------- ------- ἐπ’ ἐπ’ ἐπί ἐπί
270107 RP ----ASM- ----ASM αὐτὸν αὐτὸν αὐτόν αὐτός
270107 A- ----NPF- ----NPF πᾶσαι πᾶσαι πᾶσαι πᾶς
270107 RA ----NPF- ----NPF αἱ αἱ αἱ ὁ
270107 N- ----NPF- ----NPF φυλαὶ φυλαὶ φυλαί φυλή
270107 RA ----GSF- ----GSF τῆς τῆς τῆς ὁ
270107 N- ----GSF- ----GSF γῆς. γῆς γῆς γῆ
270107 X- -------- ------- ναί, ναί ναί ναί
270107 X- -------- ------- ἀμήν. ἀμήν ἀμήν ἀμήν
270108 RP ----NS-- ----NS- Ἐγώ Ἐγώ ἐγώ ἐγώ
270108 V- 1PAI-S-- PAI1-S- εἰμι εἰμι εἰμί εἰμί
270108 RA ----NSN- ----CSN τὸ τὸ τό ὁ
270108 N- ----NSN- ------- Ἄλφα Ἄλφα Ἄλφα Ἄλφα
270108 C- -------- ------- καὶ καὶ καί καί
270108 RA ----NSN- ----CSN τὸ τὸ τό ὁ
270108 N- ----NSN- ------- Ὦ, Ὦ Ὦ Ὦ
270108 V- 3PAI-S-- PAI3-S- λέγει λέγει λέγει λέγω
270108 N- ----NSM- ----NSM κύριος, κύριος κύριος κύριος
270108 RA ----NSM- ----NSM ὁ ὁ ὁ ὁ
270108 N- ----NSM- ----NSM θεός, θεός θεός θεός
270108 RA ----NSM- ----NSM ὁ ὁ ὁ ὁ
270108 V- -PAPNSM- PAP-NSM ὢν ὢν ὤν εἰμί
270108 C- -------- ------- καὶ καὶ καί καί
270108 RA ----NSM- ----NSM ὁ ὁ ὁ ὁ
270108 V- 3IAI-S-- IAI3-S- ἦν ἦν ἦν εἰμί
270108 C- -------- ------- καὶ καὶ καί καί
270108 RA ----NSM- ----NSM ὁ ὁ ὁ ὁ
270108 V- -PMPNSM- PMP-NSM ἐρχόμενος, ἐρχόμενος ἐρχόμενος ἔρχομαι
270108 RA ----NSM- ----NSM ὁ ὁ ὁ ὁ
270108 N- ----NSM- ----NSM παντοκράτωρ. παντοκράτωρ παντοκράτωρ παντοκράτωρ
270109 RP ----NS-- ----NS- Ἐγὼ Ἐγὼ ἐγώ ἐγώ
270109 N- ----NSM- ----NSM Ἰωάννης, Ἰωάννης Ἰωάννης Ἰωάννης
270109 RA ----NSM- ----NSM ὁ ὁ ὁ ὁ
270109 N- ----NSM- ----NSM ἀδελφὸς ἀδελφὸς ἀδελφός ἀδελφός
270109 RP ----GP-- ----GP- ὑμῶν ὑμῶν ὑμῶν σύ
270109 C- -------- ------- καὶ καὶ καί καί
270109 N- ----NSM- ----NSM ⸀συγκοινωνὸς συγκοινωνὸς συγκοινωνός συγκοινωνός
270109 P- -------- ------- ἐν ἐν ἐν ἐν
270109 RA ----DSF- ----DSF τῇ τῇ τῇ ὁ
270109 N- ----DSF- ----DSF θλίψει θλίψει θλίψει θλῖψις
270109 C- -------- ------- καὶ καὶ καί καί
270109 N- ----DSF- ----DSF βασιλείᾳ βασιλείᾳ βασιλείᾳ βασιλεία
270109 C- -------- ------- καὶ καὶ καί καί
270109 N- ----DSF- ----DSF ὑπομονῇ ὑπομονῇ ὑπομονῇ ὑπομονή
270109 P- -------- ------- ⸀ἐν ἐν ἐν ἐν
270109 N- ----DSM- ----DSY Ἰησοῦ, Ἰησοῦ Ἰησοῦ Ἰησοῦς
270109 V- 1AMI-S-- AMI1-S- ἐγενόμην ἐγενόμην ἐγενόμην γίνομαι
270109 P- -------- ------- ἐν ἐν ἐν ἐν
270109 RA ----DSF- ----DSF τῇ τῇ τῇ ὁ
270109 N- ----DSF- ----DSF νήσῳ νήσῳ νήσῳ νῆσος
270109 RA ----DSF- ----DSF τῇ τῇ τῇ ὁ
270109 V- -PPPDSF- PMP-DSF καλουμένῃ καλουμένῃ καλουμένῃ καλέω
270109 N- ----DSF- ----DSF Πάτμῳ Πάτμῳ Πάτμῳ Πάτμος
270109 P- -------- ------- διὰ διὰ διά διά
270109 RA ----ASM- ----ASM τὸν τὸν τόν ὁ
270109 N- ----ASM- ----ASM λόγον λόγον λόγον λόγος
270109 RA ----GSM- ----GSY τοῦ τοῦ τοῦ ὁ
270109 N- ----GSM- ----GSY θεοῦ θεοῦ θεοῦ θεός
270109 C- -------- ------- ⸀καὶ καὶ καί καί
270109 RA ----ASF- ----ASF τὴν τὴν τήν ὁ
270109 N- ----ASF- ----ASF μαρτυρίαν μαρτυρίαν μαρτυρίαν μαρτυρία
270109 N- ----GSM- ----GSY ⸀Ἰησοῦ. Ἰησοῦ Ἰησοῦ Ἰησοῦς
270110 V- 1AMI-S-- AMI1-S- ἐγενόμην ἐγενόμην ἐγενόμην γίνομαι
270110 P- -------- ------- ἐν ἐν ἐν ἐν
270110 N- ----DSN- ----DSY πνεύματι πνεύματι πνεύματι πνεῦμα
270110 P- -------- ------- ἐν ἐν ἐν ἐν
270110 RA ----DSF- ----DSF τῇ τῇ τῇ ὁ
270110 A- ----DSF- ----DSF κυριακῇ κυριακῇ κυριακῇ κυριακός
270110 N- ----DSF- ----DSF ἡμέρᾳ, ἡμέρᾳ ἡμέρᾳ ἡμέρα
270110 C- -------- ------- καὶ καὶ καί καί
270110 V- 1AAI-S-- AAI1-S- ἤκουσα ἤκουσα ἤκουσα ἀκούω
270110 P- -------- ------- ⸂ὀπίσω ὀπίσω ὀπίσω ὀπίσω
270110 RP ----GS-- ----GS- μου μου μου ἐγώ
270110 N- ----ASF- ----ASF φωνὴν⸃ φωνὴν φωνήν φωνή
270110 A- ----ASF- ----ASF μεγάλην μεγάλην μεγάλην μέγας
270110 C- -------- ------- ὡς ὡς ὡς ὡς
270110 N- ----GSF- ----GSF σάλπιγγος σάλπιγγος σάλπιγγος σάλπιγξ
270111 V- -PAPGSF- PAP-GSF λεγούσης· λεγούσης λεγούσης λέγω
270111 RR ----ASN- ----CSN Ὃ Ὃ ὅ ὅς
270111 V- 2PAI-S-- PAI2-S- βλέπεις βλέπεις βλέπεις βλέπω
270111 V- 2AAD-S-- AAD2-S- γράψον γράψον γράψον γράφω
270111 P- -------- ------- εἰς εἰς εἰς εἰς
270111 N- ----ASN- ----CSN βιβλίον βιβλίον βιβλίον βιβλίον
270111 C- -------- ------- καὶ καὶ καί καί
270111 V- 2AAD-S-- AAD2-S- πέμψον πέμψον πέμψον πέμπω
270111 RA ----DPF- ----DPF ταῖς ταῖς ταῖς ὁ
270111 A- ----DPF- ------- ἑπτὰ ἑπτὰ ἑπτά ἑπτά
270111 N- ----DPF- ----DPF ἐκκλησίαις, ἐκκλησίαις ἐκκλησίαις ἐκκλησία
270111 P- -------- ------- εἰς εἰς εἰς εἰς
270111 N- ----ASF- ----ASF Ἔφεσον Ἔφεσον Ἔφεσον Ἔφεσος
270111 C- -------- ------- καὶ καὶ καί καί
270111 P- -------- ------- εἰς εἰς εἰς εἰς
270111 N- ----ASF- ----ASF Σμύρναν Σμύρναν Σμύρναν Σμύρνα
270111 C- -------- ------- καὶ καὶ καί καί
270111 P- -------- ------- εἰς εἰς εἰς εἰς
270111 N- ----ASF- ----ASF Πέργαμον Πέργαμον Πέργαμον Πέργαμος
270111 C- -------- ------- καὶ καὶ καί καί
270111 P- -------- ------- εἰς εἰς εἰς εἰς
270111 N- ----APN- ----CPN Θυάτειρα Θυάτειρα Θυάτειρα Θυάτειρα
270111 C- -------- ------- καὶ καὶ καί καί
270111 P- -------- ------- εἰς εἰς εἰς εἰς
270111 N- ----APF- ----APF Σάρδεις Σάρδεις Σάρδεις Σάρδεις
270111 C- -------- ------- καὶ καὶ καί καί
270111 P- -------- ------- εἰς εἰς εἰς εἰς
270111 N- ----ASF- ----ASF Φιλαδέλφειαν Φιλαδέλφειαν Φιλαδέλφειαν Φιλαδέλφεια
270111 C- -------- ------- καὶ καὶ καί καί
270111 P- -------- ------- εἰς εἰς εἰς εἰς
270111 N- ----ASF- ----ASF Λαοδίκειαν. Λαοδίκειαν Λαοδίκειαν Λαοδίκεια
270112 C- -------- ------- ⸀Καὶ Καὶ καί καί
270112 V- 1AAI-S-- AAI1-S- ἐπέστρεψα ἐπέστρεψα ἐπέστρεψα ἐπιστρέφω
270112 V- -PAN---- PAN---- βλέπειν βλέπειν βλέπειν βλέπω
270112 RA ----ASF- ----ASF τὴν τὴν τήν ὁ
270112 N- ----ASF- ----ASF φωνὴν φωνὴν φωνήν φωνή
270112 RR ----NSF- ----NSF ἥτις ἥτις ἥτις ὅστις
270112 V- 3IAI-S-- IAI3-S- ἐλάλει ἐλάλει ἐλάλει λαλέω
270112 P- -------- ------- μετ’ μετ’ μετά μετά
270112 RP ----GS-- ----GS- ἐμοῦ· ἐμοῦ ἐμοῦ ἐγώ
270112 C- -------- ------- καὶ καὶ καί καί
270112 V- -AAPNSM- AAP-NSM ἐπιστρέψας ἐπιστρέψας ἐπιστρέψας ἐπιστρέφω
270112 V- 1AAI-S-- AAI1-S- εἶδον εἶδον εἶδον ὁράω
270112 A- ----APF- ------- ἑπτὰ ἑπτὰ ἑπτά ἑπτά
270112 N- ----APF- ----APF λυχνίας λυχνίας λυχνίας λυχνία
270112 A- ----APF- ----APF χρυσᾶς, χρυσᾶς χρυσᾶς χρυσοῦς
270113 C- -------- ------- καὶ καὶ καί καί
270113 P- -------- ------- ἐν ἐν ἐν ἐν
270113 A- ----DSN- ----DSY μέσῳ μέσῳ μέσῳ μέσος
270113 RA ----GPF- ----GPX ⸀τῶν τῶν τῶν ὁ
270113 N- ----GPF- ----GPX λυχνιῶν λυχνιῶν λυχνιῶν λυχνία
270113 A- ----ASM- ----ASM ὅμοιον ὅμοιον ὅμοιον ὅμοιος
270113 N- ----ASM- ----ASM ⸀υἱὸν υἱὸν υἱόν υἱός
270113 N- ----GSM- ----GSY ἀνθρώπου, ἀνθρώπου ἀνθρώπου ἄνθρωπος
270113 V- -XMPASM- XMP-ASM ἐνδεδυμένον ἐνδεδυμένον ἐνδεδυμένον ἐνδύω
270113 A- ----ASM- ----ASM ποδήρη ποδήρη ποδήρη ποδήρης
270113 C- -------- ------- καὶ καὶ καί καί
270113 V- -XMPASM- XMP-ASM περιεζωσμένον περιεζωσμένον περιεζωσμένον περιζώννυμι
270113 P- -------- ------- πρὸς πρὸς πρός πρός
270113 RA ----DPM- ----DPY τοῖς τοῖς τοῖς ὁ
270113 N- ----DPM- ----DPY μαστοῖς μαστοῖς μαστοῖς μαστός
270113 N- ----ASF- ----ASF ζώνην ζώνην ζώνην ζώνη
270113 A- ----ASF- ----ASF χρυσᾶν· χρυσᾶν χρυσᾶν χρυσοῦς
270114 RA ----NSF- ----NSF ἡ ἡ ἡ ὁ
270114 C- -------- ------- δὲ δὲ δέ δέ
270114 N- ----NSF- ----NSF κεφαλὴ κεφαλὴ κεφαλή κεφαλή
270114 RP ----GSM- ----GSY αὐτοῦ αὐτοῦ αὐτοῦ αὐτός
270114 C- -------- ------- καὶ καὶ καί καί
270114 RA ----NPF- ----NPF αἱ αἱ αἱ ὁ
270114 N- ----NPF- ----NPF τρίχες τρίχες τρίχες θρίξ
270114 A- ----NPF- ----NPF λευκαὶ λευκαὶ λευκαί λευκός
270114 C- -------- ------- ὡς ὡς ὡς ὡς
270114 N- ----NSN- ----CSN ἔριον ἔριον ἔριον ἔριον
270114 A- ----NSN- ----CSN λευκόν, λευκόν λευκόν λευκός
270114 C- -------- ------- ὡς ὡς ὡς ὡς
270114 N- ----NSF- ----NSF χιών, χιών χιών χιών
270114 C- -------- ------- καὶ καὶ καί καί
270114 RA ----NPM- ----NPM οἱ οἱ οἱ ὁ
270114 N- ----NPM- ----NPM ὀφθαλμοὶ ὀφθαλμοὶ ὀφθαλμοί ὀφθαλμός
270114 RP ----GSM- ----GSY αὐτοῦ αὐτοῦ αὐτοῦ αὐτός
270114 C- -------- ------- ὡς ὡς ὡς ὡς
270114 N- ----NSF- ----NSF φλὸξ φλὸξ φλόξ φλόξ
270114 N- ----GSN- ----GSY πυρός, πυρός πυρός πῦρ
270115 C- -------- ------- καὶ καὶ καί καί
270115 RA ----NPM- ----NPM οἱ οἱ οἱ ὁ
270115 N- ----NPM- ----NPM πόδες πόδες πόδες πούς
270115 RP ----GSM- ----GSY αὐτοῦ αὐτοῦ αὐτοῦ αὐτός
270115 A- ----NPM- ----NPM ὅμοιοι ὅμοιοι ὅμοιοι ὅμοιος
270115 N- ----DSN- ----DSY χαλκολιβάνῳ, χαλκολιβάνῳ χαλκολιβάνῳ χαλκολίβανον
270115 C- -------- ------- ὡς ὡς ὡς ὡς
270115 P- -------- ------- ἐν ἐν ἐν ἐν
270115 N- ----DSF- ----DSF καμίνῳ καμίνῳ καμίνῳ κάμινος
270115 V- -XPPGSF- XMP-GSF ⸀πεπυρωμένης, πεπυρωμένης πεπυρωμένης πυρόομαι
270115 C- -------- ------- καὶ καὶ καί καί
270115 RA ----NSF- ----NSF ἡ ἡ ἡ ὁ
270115 N- ----NSF- ----NSF φωνὴ φωνὴ φωνή φωνή
270115 RP ----GSM- ----GSY αὐτοῦ αὐτοῦ αὐτοῦ αὐτός
270115 C- -------- ------- ὡς ὡς ὡς ὡς
270115 N- ----NSF- ----NSF φωνὴ φωνὴ φωνή φωνή
270115 N- ----GPN- ----GPX ὑδάτων ὑδάτων ὑδάτων ὕδωρ
270115 A- ----GPN- ----GPX πολλῶν, πολλῶν πολλῶν πολύς
270116 C- -------- ------- καὶ καὶ καί καί
270116 V- -PAPNSM- PAP-NSM ἔχων ἔχων ἔχων ἔχω
270116 P- -------- ------- ἐν ἐν ἐν ἐν
270116 RA ----DSF- ----DSF τῇ τῇ τῇ ὁ
270116 A- ----DSF- ----DSF δεξιᾷ δεξιᾷ δεξιᾷ δεξιός
270116 N- ----DSF- ----DSF ⸂χειρὶ χειρὶ χειρί χείρ
270116 RP ----GSM- ----GSY αὐτοῦ⸃ αὐτοῦ αὐτοῦ αὐτός
270116 N- ----APM- ----APM ἀστέρας ἀστέρας ἀστέρας ἀστήρ
270116 A- ----APM- ------- ἑπτά, ἑπτά ἑπτά ἑπτά
270116 C- -------- ------- καὶ καὶ καί καί
270116 P- -------- ------- ἐκ ἐκ ἐκ ἐκ
270116 RA ----GSN- ----GSY τοῦ τοῦ τοῦ ὁ
270116 N- ----GSN- ----GSY στόματος στόματος στόματος στόμα
270116 RP ----GSM- ----GSY αὐτοῦ αὐτοῦ αὐτοῦ αὐτός
270116 N- ----NSF- ----NSF ῥομφαία ῥομφαία ῥομφαία ῥομφαία
270116 A- ----NSF- ----NSF δίστομος δίστομος δίστομος δίστομος
270116 A- ----NSF- ----NSF ὀξεῖα ὀξεῖα ὀξεῖα ὀξύς
270116 V- -PMPNSF- PMP-NSF ἐκπορευομένη, ἐκπορευομένη ἐκπορευομένη ἐκπορεύομαι
270116 C- -------- ------- καὶ καὶ καί καί
270116 RA ----NSF- ----NSF ἡ ἡ ἡ ὁ
270116 N- ----NSF- ----NSF ὄψις ὄψις ὄψις ὄψις
270116 RP ----GSM- ----GSY αὐτοῦ αὐτοῦ αὐτοῦ αὐτός
